n	Time_Gaussian	Time_Partial Gaussian	Time_LU	Time_Partial LU	Memory_Gaussian	Memory_Partial Gaussian	Memory_LU	Memory_Partial LU
1000	0.038569615	0.073995878	0.004161565	0.04925299	470.671875	142209.375	425.5625	146468.203125
2000	0.004549214	0.261002289	0.007208148	0.202678322	457.21875	549385.75	1413.4375	564306.078125
3000	0.009499102	0.433262952	0.015538557	0.61339536	1043.78125	1.2046490625e6	1019.9375	1.235599734375e6
4000	0.017616829	0.737298599	0.024177947	0.738979381	1067.21875	2.1396531875e6	1035.5625	2.193291234375e6
5000	0.0263013	1.18746068	0.096613049	1.558959527	1090.65625	3.398270875e6	1051.1875	3.484052265625e6
6000	0.040945523	1.75349571	0.061010214	1.996200583	1114.09375	4.768434875e6	1066.8125	4.881933390625e6
7000	0.055418506	2.479725483	0.082924773	2.504302288	3255.28125	6.59801540625e6	3200.1875	6.765595734375e6
8000	0.074184652	3.201237714	0.110679171	3.193106187	2306.46875	8.56469925e6	2243.5625	8.770242265625e6
9000	0.095437621	4.36381869	0.141703416	3.888562802	2329.90625	1.09421033125e7	2259.1875	1.1205273921875e7
10000	0.128171712	6.026739071	0.196135514	5.741506866	2353.34375	1.348428421875e7	2274.8125	1.3823776453125e7
11000	0.159536862	6.83899644	0.216564482	6.551385509	2376.78125	1.6133660625e7	2290.4375	1.6510807421875e7
